Entity1,Entity2,Entity3,Entity4,Entity5,Entity6,Entity7,Entity8,Entity9,Entity10,Entity11,Entity12,Entity13,Entity14,Entity15
Treatment_0weeks_4869_GSM100,0.821543462999706,0.61525578447501,0.700945809643185,0.694598679202331,0.15433639350981,0.551460853886263,0.215230190803417,0.505278975661712,0.573033191422596,0.268998769247862,0.0958969625521042,0.875428847939761,0.452445372130698,0.179295425169961,0.490303763473139
Treatment_1weeks_4869_GSM101,0.552279215359442,0.614457057108416,0.907402767448518,0.6089316327518,0.286573148648342,0.490793613386446,0.354156695969237,0.447311756054246,0.531104740884269,0.261059526262459,0.336252326518742,0.539464984613202,0.473447059998313,0.30072139178578,0.515898532818423
Treatment_3weeks_4869_GSM102,0.397959522639676,0.383160294175661,0.71591731197275,0.577442367285862,0.374419851075676,0.415731944338609,0.293831455359316,0.400131181635415,0.631762691156161,0.393649507739123,0.32128452886917,0.819668415434238,0.416237331702019,0.208980732827962,0.475143687446062
Treatment_8weeks_4869_GSM103,0.825919891442417,0.540707042053862,0.721248267794452,0.482123273330466,0.324234186735052,0.613549887830771,0.352015942154067,0.381557682789384,0.607702127078156,0.728015675602895,0.422535368432269,0.558810544155826,0.438426085262037,0.363852802867944,0.40423140083797
Treatment_24weeks_4869_GSM104,0.273478388003142,0.382517933022209,0.412205753569486,0.47058330662541,0.436268976445026,0.478686291410243,0.343498608783493,0.315879136922914,0.689169947986503,0.749210916597291,0.463987760133672,0.898055304676782,0.744487284762947,0.0983422102416009,0.413165169871877
Treatment_0weeks_4896_GSM105,0.553800098331758,0.741793049279193,0.597751306334796,0.568992260202472,0.117195164005523,0.77315348049911,0.557440522127492,0.402189895682327,0.424512540077254,0.271049258001045,0.230792050932873,0.831365833027947,0.43336151293434,0.317798732647538,0.142598662910431
Treatment_1weeks_4896_GSM106,0.615880497267714,0.63808396928504,0.670014010716504,0.518337408039448,0,1,0.600367120033054,0.57871783853209,0.189974253817535,0.420016033533694,0.125301206995103,0.759177887583944,0.122464958892361,0.432747455913328,0.386760933362384
Treatment_3weeks_4896_GSM107,0.62189228244275,0.678168186533352,0.7095906439,0.407516550988267,0.28528323993489,0.767939778978804,0.588482398420315,0.308265979857718,0.507419343944949,0.70955646200147,0.329252786957649,0.644395634987595,0.44685275544469,0.281961932272215,0.375587400103341
Treatment_8weeks_4896_GSM108,0.264381272052487,0.511972468634292,0.421563472721597,0.475977952772935,0.30609915056725,0.646337459321653,0.309570896040298,0.575552750162804,0.419617853592087,0.633964995786421,0.308588315982287,0.914495433203835,0.380483848919852,0.258235866958126,0.232052192113201
Treatment_24weeks_4896_GSM109,0.355438471090843,0.207824016930094,0.491987938198398,0.384805736917732,0.323472618624088,0.747644308529228,0.517366772018233,0.308268302694761,0.562695065320821,0.710643195315249,0.373212056890304,0.877430740184251,0.575535000389408,0.245856765991027,0.187480794631607
